Fecha Nacimiento;Nivel Educativo;Completo Nivel Educativo;Idioma;
1997-02-01;Primaria;Completó;Inglés;
1997-02-01;Secundaria;Completó;Inglés;
1995-02-04;Secundaria;En Curso;Portugues;
1986-09-30;Secundaria;Incompleto;Inglés;
1986-09-30;Universitaria;Completó;Inglés;
1973-10-04;Secundaria;Completó;Arabe;
1973-10-04;Terciaria;Completó;Arabe;
1973-10-04;Secundaria;Completó;Inglés;
1973-10-04;Terciaria;Completó;Inglés;
1973-10-04;Secundaria;Completó;Inglés;
1973-10-04;Terciaria;Completó;Inglés;
1973-10-04;Secundaria;Completó;Inglés;
1973-10-04;Terciaria;Completó;Inglés;
1973-10-04;Secundaria;Completó;Italiano;
1973-10-04;Terciaria;Completó;Italiano;
1973-10-04;Secundaria;Completó;Italiano;
1973-10-04;Terciaria;Completó;Italiano;
1973-10-04;Secundaria;Completó;Italiano;
1973-10-04;Terciaria;Completó;Italiano;
1992-11-29;Secundaria;Completó;Inglés;
1992-11-29;Terciaria;En Curso;Inglés;
1990-04-01;Secundaria;Incompleto;Inglés;
1990-04-01;Secundaria;Incompleto;Inglés;
1994-07-29;Primaria;Completó;Inglés;
1994-07-29;Secundaria;Completó;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1994-07-29;Primaria;Completó;Inglés;
1994-07-29;Secundaria;Completó;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1994-07-29;Primaria;Completó;Italiano;
1994-07-29;Secundaria;Completó;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1994-07-29;Primaria;Completó;Italiano;
1994-07-29;Secundaria;Completó;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1994-07-29;Primaria;Completó;Italiano;
1994-07-29;Secundaria;Completó;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1994-07-29;Terciaria;Incompleto;Italiano;
1998-03-31;Primaria;Completó;Inglés;
1998-03-31;Secundaria;Incompleto;Inglés;
1997-06-11;Primaria;Completó;Inglés;
1997-06-11;Secundaria;Incompleto;Inglés;
1997-06-11;Primaria;Completó;Inglés;
1997-06-11;Secundaria;Incompleto;Inglés;
1997-06-11;Primaria;Completó;Italiano;
1997-06-11;Secundaria;Incompleto;Italiano;
1980-01-07;Secundaria;Completó;Inglés;
1980-01-07;Terciaria;Completó;Inglés;
1980-01-07;Primaria;Completó;Inglés;
1980-01-07;Secundaria;Completó;Inglés;
1980-01-07;Terciaria;Completó;Inglés;
1980-01-07;Primaria;Completó;Inglés;
1980-01-07;Secundaria;Completó;Inglés;
1980-01-07;Terciaria;Completó;Inglés;
1980-01-07;Primaria;Completó;Inglés;
1980-02-04;Terciaria;En Curso;Inglés;
1980-02-04;Terciaria;En Curso;Inglés;
1980-02-04;Terciaria;En Curso;Inglés;
1993-02-20;Primaria;Completó;Inglés;
1993-02-20;Secundaria;Completó;Inglés;
1993-02-20;Universitaria;En Curso;Inglés;
1994-07-08;Secundaria;Completó;Inglés;
1996-11-09;Primaria;Completó;Inglés;
1996-11-09;Secundaria;En Curso;Inglés;
1993-04-09;Primaria;Completó;Inglés;
1993-04-09;Secundaria;Completó;Inglés;
1995-11-01;Primaria;Completó;Inglés;
1995-11-01;Secundaria;Incompleto;Inglés;
1995-11-01;Primaria;Completó;Inglés;
1995-11-01;Secundaria;Incompleto;Inglés;
1995-11-01;Primaria;Completó;Inglés;
1995-11-01;Secundaria;Incompleto;Inglés;
1996-01-24;Primaria;Completó;Inglés;
1996-01-24;Secundaria;Completó;Inglés;
1996-01-24;Terciaria;Incompleto;Inglés;
1996-01-24;Primaria;Completó;Inglés;
1996-01-24;Secundaria;Completó;Inglés;
1996-01-24;Terciaria;Incompleto;Inglés;
1996-01-24;Primaria;Completó;Inglés;
1996-01-24;Secundaria;Completó;Inglés;
1996-01-24;Terciaria;Incompleto;Inglés;
1996-01-24;Primaria;Completó;Portugues;
1996-01-24;Secundaria;Completó;Portugues;
1996-01-24;Terciaria;Incompleto;Portugues;
1996-01-24;Primaria;Completó;Portugues;
1996-01-24;Secundaria;Completó;Portugues;
1996-01-24;Terciaria;Incompleto;Portugues;
1996-01-24;Primaria;Completó;Portugues;
1996-01-24;Secundaria;Completó;Portugues;
1996-01-24;Terciaria;Incompleto;Portugues;
1975-05-21;Terciaria;Completó;Inglés;
1975-05-21;Terciaria;Completó;Inglés;
1975-05-21;Terciaria;Completó;Inglés;
1975-05-21;Terciaria;Completó;Portugues;
1975-05-21;Terciaria;Completó;Portugues;
1975-05-21;Terciaria;Completó;Portugues;
1981-03-10;Secundaria;Completó;Inglés;
1981-03-10;Secundaria;Completó;Inglés;
